,Description of intake location changes,Description of noncompliance with terms and conditions,Description of place of use changes,Description of type of use changes,I am complying with all terms and conditions,I have reviewed my water right permit,Intake location has been changed,Place of use has changed,Type of use has changed,ApplID,Report_ID
8291,,Measureing devices have been stolen or broken over time,,,No,Yes,,,,A029158,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50042
8292,,Measureing devices have been stolen or broken over time,,,No,,,,,A029158,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85238
8293,,,,,Yes,,,,,A029161,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236014
8294,,,,,Yes,,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113166
8295,,,,,Yes,,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156200
8296,,,,,Yes,,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208045
8297,,,,,Yes,,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236015
8298,,,,,Yes,,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292865
8299,,,,,Yes,,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339882
8300,,,,,Yes,Yes,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36573
8301,,,,,Yes,,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381337
8302,,,,,Yes,Yes,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50093
8303,,,,,Yes,,,,,A029166,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85959
8304,,,,,Yes,,,,,A029167,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111884
8305,,,,,Yes,,,,,A029167,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157107
8306,,,,,Yes,,,,,A029167,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207867
8307,,,,,Yes,,,,,A029167,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236016
8308,,,,,Yes,,,,,A029167,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293766
8309,,,,,Yes,,,,,A029167,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340075
8310,,,,,Yes,Yes,,,,A029167,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36942
8311,,,,,Yes,Yes,,,,A029167,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50043
8312,,,,,Yes,,,,,A029167,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84670
8313,,,,,Yes,Yes,,,,A029174,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37199
8314,,,,,Yes,Yes,,,,A029174,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50547
8315,,,,,Yes,,,,,A029180,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112080
8316,,,,,Yes,,,,,A029180,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156201
8317,,,,,Yes,,,,,A029180,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=182180
8318,,,,,Yes,,,,,A029180,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207868
8319,,,,,Yes,,,,,A029180,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236017
8320,,,,,,,,,,A029180,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36430
8321,,,,,Yes,Yes,,,,A029180,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49284
8322,,,,,Yes,,,,,A029180,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84865
8323,,,,,Yes,,,,,A029181,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236018
8324,,,,,Yes,,,,,A029181,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340076
8325,,,,,,,,,,A029181,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37349
8326,,,,,Yes,Yes,,,,A029181,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49609
8327,,,,,Yes,,,,,A029182,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156202
8328,,,,,Yes,,,,,A029182,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207870
8329,,,,,Yes,,,,,A029182,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236019
8330,,,,,Yes,,,,,A029182,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292867
8331,,,,,Yes,,,,,A029193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111934
8332,,,,,Yes,,,,,A029193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156964
8333,,,,,Yes,,,,,A029193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207920
8334,,,,,Yes,,,,,A029193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236020
8335,,,,,Yes,,,,,A029193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293627
8336,,,,,Yes,,,,,A029193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339938
8337,,,,,Yes,,,,,A029193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36445
8338,,,,,Yes,Yes,,,,A029193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49263
8339,,,,,Yes,,,,,A029193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84719
8340,,,,,Yes,,,,,A029199,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112830
8341,,,,,Yes,,,,,A029199,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156914
8342,,,,,Yes,,,,,A029199,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207323
8343,,,,,Yes,,,,,A029199,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236021
8344,,,,,Yes,,,,,A029199,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293571
8345,,,,,Yes,,,,,A029199,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340822
8346,,,,,Yes,Yes,,,,A029199,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37417
8347,,,,,Yes,Yes,,,,A029199,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49947
8348,,,,,Yes,,,,,A029199,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85619
8349,,,,,Yes,,,,,A029200,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113167
8350,,,,,Yes,,,,,A029200,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156726
8351,,,,,Yes,,,,,A029200,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207507
8352,,,,,Yes,,,,,A029200,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236022
8353,,,,,Yes,Yes,,,,A029200,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36390
8354,,,,,Yes,Yes,,,,A029200,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50363
8355,,,,,Yes,,,,,A029200,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85960
8356,,,,,Yes,,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112997
8357,,,,,Yes,,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157108
8358,,,,,Yes,,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207508
8359,,,,,Yes,,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=232966
8360,,,,,Yes,,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236023
8361,,,,,Yes,,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293767
8362,,,,,Yes,,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340633
8363,,,,,Yes,Yes,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37873
8364,,,,,Yes,,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48935
8365,,,,,Yes,Yes,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50579
8366,,,,,Yes,,,,,A029202,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85787
8367,,,,,Yes,,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112453
8368,,,,,Yes,,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157282
8369,,,,,Yes,,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207686
8370,,,,,Yes,,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236024
8371,,,,,Yes,,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293942
8372,,,,,Yes,,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340084
8373,,,,,Yes,Yes,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37861
8374,,,,,Yes,,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48936
8375,,,,,Yes,Yes,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50411
8376,,,,,Yes,,,,,A029203,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85239
8377,,,,,Yes,,,,,A029204,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112831
8378,,,,,Yes,,,,,A029204,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156727
8379,,,,,Yes,,,,,A029204,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207687
8380,,,,,Yes,,,,,A029204,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236025
8381,,,,,Yes,,,,,A029204,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293387
8382,,,,,Yes,,,,,A029204,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=341004
8383,,,,,Yes,Yes,,,,A029204,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36490
8384,,,,,Yes,Yes,,,,A029204,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49652
8385,,,,,Yes,,,,,A029204,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85620
8386,,,,,Yes,,,,,A029205,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112259
8387,,,,,Yes,,,,,A029205,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157109
8388,,,,,Yes,,,,,A029205,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208282
8389,,,,,Yes,,,,,A029205,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=234524
8390,,,,,Yes,,,,,A029205,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236026
8391,,,,,Yes,,,,,A029205,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293825
8392,,,,,Yes,,,,,A029205,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340271
8393,,,,,Yes,Yes,,,,A029205,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49908
8394,,,,,Yes,,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112636
8395,,,,,Yes,,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156915
8396,,,,,Yes,,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208594
8397,,,,,Yes,,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=233352
8398,,,,,Yes,,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236027
8399,,,,,Yes,,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293572
8400,,,,,Yes,,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=341005
8401,,,,,Yes,,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37345
8402,,,,,Yes,Yes,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49477
8403,,,,,Yes,,,,,A029209,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85428
8404,,,,,Yes,,,,,A029210,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112637
8405,,,,,Yes,,,,,A029210,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156203
8406,,,,,Yes,,,,,A029210,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208595
8407,,,,,Yes,,,,,A029210,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236028
8408,,,,,Yes,,,,,A029210,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=341006
8409,,,,,Yes,Yes,,,,A029210,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50187
8410,,,,,Yes,,,,,A029211,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112998
8411,,,,,Yes,,,,,A029211,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156916
8412,,,,,Yes,,,,,A029211,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207688
8413,,,,,Yes,,,,,A029211,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236029
8414,,,,,Yes,,,,,A029211,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293573
8415,,,,,Yes,,,,,A029211,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339724
8416,,,,,Yes,,,,,A029211,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36772
8417,,,,,Yes,,,,,A029211,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50188
8418,,,,,Yes,,,,,A029211,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85788
8419,,,,,Yes,,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111886
8420,,,,,Yes,,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156371
8421,,,,,Yes,,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=179711
8422,,,,,Yes,,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181005
8423,,,,,Yes,,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181029
8424,,,,,Yes,,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208046
8425,,,,,Yes,,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236030
8426,,,,,Yes,Yes,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36517
8427,,,,,Yes,Yes,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49812
8428,,,,,Yes,,,,,A029213,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84672
8429,,,,,,,,,,A029219,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36692
8430,,,,,Yes,Yes,,,,A029219,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50453
8431,,,,,Yes,,,,,A029219,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84673
8432,,,,,Yes,,,,,A029220,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340148
8433,,,,,Yes,,,,,A029221,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111888
8434,,,,,Yes,,,,,A029221,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156204
8435,,,,,Yes,,,,,A029221,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208231
8436,,,,,Yes,,,,,A029221,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236032
8437,,,,,Yes,,,,,A029221,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292869
8438,,,,,Yes,,,,,A029221,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340272
8439,,,,,Yes,Yes,,,,A029221,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37142
8440,,,,,Yes,Yes,,,,A029221,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50214
8441,,,,,Yes,,,,,A029221,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84675
8442,,,,,Yes,,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112999
8443,,,,,Yes,,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156542
8444,,,,,Yes,,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208047
8445,,,,,Yes,,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236033
8446,,,,,Yes,,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293202
8447,,,,,Yes,,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=334916
8448,,,,,Yes,,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=341007
8449,,,,,Yes,,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37578
8450,,,,,Yes,Yes,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50640
8451,,,,,Yes,,,,,A029225,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85789
8452,,,,,Yes,,,,,A029226,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156728
8453,,,,,Yes,,,,,A029226,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207324
8454,,,,,Yes,,,,,A029226,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236034
8455,,,,,Yes,,,,,A029226,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293388
8456,,,,,Yes,,,,,A029226,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339901
8457,,,,,Yes,,,,,A029226,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85047
8458,,,,,Yes,,,,,A029228,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236035
8459,,,,,Yes,Yes,,,,A029228,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37662
8460,,,,,Yes,Yes,,,,A029228,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50364
8461,,,,,Yes,,,,,A029229,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236036
8462,,,,,Yes,Yes,,,,A029229,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37671
8463,,,,,Yes,Yes,,,,A029229,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49359
8464,,,,,Yes,,,,,A029230,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236037
8465,,,,,Yes,Yes,,,,A029230,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37667
8466,,,,,Yes,Yes,,,,A029230,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49382
8467,,,,,Yes,,,,,A029232,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236038
8468,,,,,Yes,Yes,,,,A029232,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37674
8469,,,,,Yes,Yes,,,,A029232,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49719
8470,,,,,Yes,,,,,A029233,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113168
8471,,,,,Yes,,,,,A029233,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156729
8472,,,,,Yes,,,,,A029233,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207325
8473,,,,,Yes,,,,,A029233,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236039
8474,,,,,Yes,,,,,A029233,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293389
8475,,,,,Yes,,,,,A029233,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340634
8476,,,,,Yes,Yes,,,,A029233,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37874
8477,,,,,Yes,Yes,,,,A029233,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50044
8478,,,,,Yes,,,,,A029233,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85961
8479,,,,,Yes,,,,,A029235,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112833
8480,,,,,Yes,,,,,A029235,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156917
8481,,,,,Yes,,,,,A029235,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208232
8482,,,,,Yes,,,,,A029235,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236040
8483,,,,,Yes,,,,,A029235,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293574
8484,,,,,Yes,,,,,A029235,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340460
8485,,,,,Yes,Yes,,,,A029235,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36801
8486,,,,,Yes,Yes,,,,A029235,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50045
8487,,,,,Yes,,,,,A029235,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85622
8488,,,,,Yes,,,,,A029239,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112261
8489,,,,,Yes,,,,,A029239,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156208
8490,,,,,Yes,,,,,A029239,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207326
8491,,,,,Yes,,,,,A029239,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=236041
8492,,,,,Yes,,,,,A029239,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292873
